price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_living,no_of_kitchen,facing,road_size
"Rs 30,500,000","location: Kathmandu, Sitapaila, Adeshwor",4 Anna,"Brand new house at Kathmandu, Adeshwor Area listed for sale on Gharsansar Real Estate Pvt.Ltd.",6,6,3,3,WEST,16 feets
Rs 7.75 Crore,"location: Kathmandu, Golfutar",0-8-2-0,"Tradition lifestyle with mixture of modern Styles Banglow Sale at Kathmandu, Golfutar Listed on Gharsansar for Sale.",7,5,3,1,NORTH,14 Feets
"Rs 23,500,000","location: Kathmandu, Sitapaila, Banglamukhi",3.2.2 Anna,"New listed house on Sale at Kathmandu, Sitapaila.",7,3,3,2,EAST,13 Feets
"Rs 46,500,000","location: Kathmandu, Dallu",4 Anna,"Just listed Brand New House at Kathmandu, Dallu, Bijeshwori is on for Sale at Gharsansar.",7,5,2,2,SOUTH,13 Feet
"Rs 22,000,000","location: Kathmandu, Syuchatar",4.5 anna,"House on sale at Kathmandu, Syuchatar on for Sale.",7,4,1,2,SOUTH,10 Feets
"Rs 40,000,000","location: kathmandu, dallu",4 Anna, ,6,4,2,2,SOUTH,13 Feet
"Rs 2,90,00,000","location: Kathmandu, Banglamukhi, Sitapaila",3.2 Anna, ,7,5,2,2,EAST,16 feets
"Rs 2,75,00,000","location: Rumba chowk, Sano bharyang, Kathmandu",3.2 Anna, ,4,3,3,2,East-South,14 Feet
"Rs 20,000,000","location: Kathmandu, Nagarjung, Raniban",3 Anna,Budget home at raniban area listed on Gharsansar for budget buyers.,4,3,3,1,EAST,12 Feets
Rs 62000000,"location: Kathmandu, Raniban",5.5 Anna, ,5,5,2,1,NORTH,18 Feet
"Rs 30,000,000","location: Lalitpur, Magargaun",3.3 Anna,"New home at Lalitpur, Bhaisepati Area- Magargaun is on Sale.",4,3,2,2,WEST,13 Feet
"Rs 30,000,000","location: Kathmandu, Raniban, Yekaltar",3 ANNA,Budget home Near to Raniban town planning kathmandu for Sale at Gharsansar.,3,3,2,2,West,13 Feets
"Rs 47,500,000","location: Kathmandu, Raniban",5 Anna,"Brand New House on Sale at Kathmandu, Raniban",5,5,1,1,SOUTH,22 Feets
"Rs Rs 3,00,00,000","location: Kathmandu,Hatti Gauda",7 Aana,,7,5,2,2,East-South,22 Feets
"Rs Rs 26,000,000","location: Kathmandu, Hatigauda",5 Anna,"New House for Sale at Kathmandu, Hatigauda Area.",4,5,2,2,East,22 Feets
"Rs 25,500,000","location: Kathmandu, Chandagiri, Gokul Party",4 Anna,,4,4,2,2,EAST-NORTH,13 Feet
"Rs 22,000,000","location: Kathmandu, Syuchatar",4 Anna,"House on Sale at Kathmandu, Syuchatar, Kalanki Area.",5,2,1,1,NORTH,14 Feet
"Rs 37,500,000","location: Kathmandu, Budhanilkantha, Wasik",5 Anna,,5,4,1,1,South,13 Feet
"Rs RS 18,500,000","location: Kathmandu, Raamkot",3 Anna 1 Dam,"House ON Sale at Kathmandu, Nagarjung, Ramkot.",5,3,2,2,North,12 Feet
"Rs 25,000,000","location: Kathmandu, Swoyambhu, Kimdol",2 Anna 3 Paisa,',6,4,2,2,North,12 Feet
Rs 3500000 Per Anna,"location: Kathmandu, Sitapaila, Taukhel",2 Anna 3 Paisa,"Land for Sale at Kathmandu, Taukhel.",6,4,2,2,South,20 Feet
"Rs 28,500,000","location: Lalitpur, Nakhipot",2 Anna 3 Paisa,"Just Built New Mordern Banglow Concept House for Sale at Lalitpur, Nakhipot.",6,4,2,2,South,20 Feet
Rs 23500000,"location: Kathmandu, Gairgaun",4 Anna 2 Paisa,,8,3,2,1,West,13 Feet
Rs 22500000,"location: Kathmandu, Tokha, Suryadarshan Height",3 ANNA,"Commercial Home at Kathmandu, Tokha-3, Surya Darshan Height on Sale.",3,3,1,2,East-South,16/20 Feet
"Rs 27,000,000","location: Kathmandu, Tokha, Dhaneshwor Height",4 Anna,Property Floor Details:,6,4,2,2,North-West,13 Feet
"Rs 37,000,000","location: Kathmandu, Grande, Futsal",3 Anna 1 Paisa, ,4,4,2,2,South-West,16 Feet
"Rs 35,000,000","location: Lalitpur, Khumaltar",4 Anna, ,6,4,2,2,East,13 Feet
"Rs 25,000,000",location: Lalitpur. Khumaltar,3 Anna 2 Paisa,House built on 2072 B.S .,6,3,1,2,South,16 Feet
Rs 16000000,"location: Lalitpur, Jharuwarasi",6 Anna,"Property located at Lalitpur-13, Jharuwarasi. With beautiful green nature with spacious 6 Anna Area.",4,1,1,1,East,20 Feet
"Rs 35,000,000","location: Kathmandu, Bafal",3 ANNA,Property Floor Details,6,3,1,2,North,10-12 Feet
"Rs 27,500,000","location: Kathmandu, Ichangunarayan, Rai chowk",0.3.1.2, ,5,3,2,2,South-East,12 Feet
"Rs 3,30,00,000","location: Kathmandu, Sitapaila, Bafal",4 Anna, ,6,3,2,2,West,10 Feets
Rs 4.75 Crore,"location: Kathmandu, Kapan",4 Anna 2 Paisa 2 Dam,"Morden European Concept Resident, Home listed for Sale at Kathmandu, Kapan. Durga Mandir Area( Akashdhara Tole). Dream home with full featured.",5,5,2,1,South-West,15 Feet
Rs 5 Crore,"location: Kathmandu, Sano Bharayang",10 Anna,Sano Bharayng Home for Sale.,8,5,3,2,West,14 Feet
Rs 7 Crore,"location: Kathmandu,Banasthali",11 Anna,"Family friendly Banglow at Kathmandu, Banasthali just listed for Sale.",4,5,1,1,East,20 Feet
"Rs 3,65,00,000","location: Kathmandu, Nepaltar, Tusal",11 Anna,"Residential Home at Nepaltar, Tusal Area is for Sale.",4,5,1,1,East,20 Feet
"Rs 18,500,000","location: Kathmandu, Dahachowk",4 Anna,"New Flat Sysytem home Available at Kathmandu, Chandagiri-1, Dhahachowk Area.",4,3,2,2,East,20 Feet
"Rs 55,000,000","location: Kathmandu, Budhanilkantha",7 Anna 2 Paisa,New Banglow at Budhanilkantha Area for Sale.,5,4,1,1,East- North,20 Feet
"Rs 31,500,000","location: Kathmandu, Sano Bhanrayang",4 Anna 2 Paisa,2.5 Storey Mordern concept Home at Sano Bharayang Area for Sale.,6,5,2,2,South-West,20 Feet
"Rs 7,00,00,000","location: Kathmandu, Budhanilkantha",1 Ropani,Spacious Banglow Near to Man Bahadur Marga Area for Sale.,4,7,1,1,North,20 Feet
"Rs 2,70,00,000","location: Kathmandu, Sano Bhanrayang",3 Anna 1 Paisa,Beautiful Small Family Home for Sale. 1 KM away from Sanobharayang Ringroad.,4,4,1,2,East- North,20 Feet
Rs 23000000,"location: Kathmandu, Sitapaila",3 ANNA,Family Home at Kathmandu Sitapaila for Sale.,5,3,2,2,South,16 Feet
"Rs 3,65,00,000","location: Lalitpur, Kusunti Area",5 Anna 2 Paisa 2 Dam, ,4,4,1,1,North-West,16 Feet
"Rs 2,30,00,000","location: Kathmandu, Mahankal , Ramkot",4 Anna 1 Paisa,"House for Sale at Ramkot, Near to Mahankal Area

						The house is ideal for a small family who want facilities in and around the area. 
Property Floor Details",6,4,2,1,East,16 Feet
"Rs 24,000,000","location: Kathmandu, Sitapaila",4 Anna 1 Paisa,"2.5 Storey Sankata Homes (1.5Km from Sitapaila Ringroad)
						24 Hours Natural water facility
						Far from crowd and pollution
						Lush greenery
						Dream Stay Environment
						Built post earthquake 2074
						12*12 pillars
						Bank Financing Available",6,3,2,2,EAST-SOUTH,16 Feet
"Rs 40,000,000","location: kathmandu,dallu",4 Anna 3 Dam,Commercial Residential Home at Dallu Awas is On for Sale.,5,3,1,2,West,16 Feet
"Rs 105,000,000","location: Kathmandu, Budhanilkantha",21 Anna,"Beautiful Bungalow for sale at Narayanthan, Budhanilkantha.
						Property Details:",5,5,1,1,SOUTH,16 Feet
"Rs 45,000,000","location: Kathmandu, Budhanikantha-5",6 Anna,A Beautiful Earthly Home Built on 1026.75 sq.ft on Vip Narayanthan Area Ready for New Owner.,5,4,1,1,North,16 Feet
"Rs 120,000,000","location: Narayanthan, Budhanilkantha",27 Anna,"Exclusive Banglow At Budhanilkath, Narayanthan.",5,5,2,1,EAST-SOUTH,16 Feet
Rs 100000000,"location: Kathmandu, Budhanilkantha",20 Anna,Fabulos Residential Banglow At Budhanilkatha On Sale.,5,5,2,1,WEST,16 Feet
Rs 30000000,"location: Kathmandu, Sano Bhanrayang",3 Anna 2 Paisa,Semi-Commercial Home at Sano Bharayang on Sale,4,4,1,1,South,16 Feet
"Rs 90,000,000","location: Kathmandu, Gongabu, SIdditole",12 Anna,Propety on Gongabu Area 300 Meters Away from Main ringroad.,14,10,5,5,WEST-NORTH,16 Feet
"Rs 185,000,000","location: Kathmandu, Boudha",11 Anna,Boudhanath Area two Building covered 11 Anna Land Is on Sale.,11,5,4,4,SOUTH,16 Feet
"Rs 36,000,000","location: Kathmandu, Halchowk, Pachdhara",4 Anna 2 Paisa,Nepali Traditional Residential Home Built on Sale.,5,4,2,1,South,16 Feet
"Rs 25,000,000","location: Kathmandu, Dhapasi,",4 Anna,A Perfect For Home Suitable Family is on Sale.,6,3,2,2,South-West,16 Feet
"Rs 3,40,00,000","location: Kathmandu, Sano Bhanrayang",4 Anna 1 Paisa,"Ground Floor: Parking Space for 2 Cars & Bikes, Reserve Tanky of 14000 Liters of Under Ground Water Storage. With 20 Feet wide Black topped Road Connect to the Home.Ground floor is built for Rental purpose which contains of One Bedroom, One Common Bathroom, Kitchen ,Living & Dining Area.",5,4,2,2,East,16 Feet
"Rs 2,70,00,000","location: Kathmandu, Chauni",4 Anna 2 Paisa 2 Dam,House On Sale At Chauni Area.,5,3,1,2,East- South,16 Feet
"Rs 3,00,00,000","location: Kathmandu, Raniban, Tinghare",4 Anna 2 Paisa, ,5,3,2,2,WEST,16 Feet
"Rs 1,80,00,000","location: Kathmandu, Satungal, Balambu",3 Anna 2 Paisa 2 Dam,Just Built and Waiting for New Family.,5,4,2,1,East,16 Feet
"Rs 1,80,00,000","location: Kathmandu, Satungal, Balambu",3 Anna 2 Paisa 2 Dam,Just Built and Waiting for New Family.,5,4,2,1,East,16 Feet
"Rs 1,65,00,000","location: Kathmandu, Thankot",3 ANNA,"New Residential Home Built at Thankot , Chandagiri.",4,3,2,1,WEST,16 Feet
"Rs 1,40,00,000","location: Kathmandu, Thankot, Om Basti",3 ANNA,New Built Small Mordern Concept Home On Sale.,2,3,2,2,East,16 Feet
"Rs 26,000,000","location: Kathmandu, Halchowk, Pachdhara",4 Anna 1 Paisa,Newly Built Home at Halchowk Area Ready for Family.,4,3,2,2,North,16 Feet
"Rs 34,000,000","location: Kathmandu, Swoyambhu, Kimdol, Thado Bharayang",4 Anna,RESIDENTIAL HOME AT SWOYAMBHU AREA ON SALE.,5,3,3,2,North,13 Feet
Rs 55000000,"location: Kathmandu,Tahachal",5 Anna 2 Paisa,Banglow home at Tahachal on Sale.,7,9,2,1,East- North,16 Feet
"Rs 5,25,00,000","location: Kathmandu,Tahachal",5 Anna 2 Paisa,Spacious Morden Resident Home at Tahachal Kathmandu.,7,8,2,1,North,16 Feet
"Rs 3,00,00,000","location: Kathmandu,Kalanki, LRI School Area",4 Anna 2 Paisa, ,4,3,1,1,WEST-SOUTH,16 Feet
"Rs 30,000,000","location: Kathmandu, Raniban",4 Anna 2 Paisa,"Morden Residental Space on sale at Raniban Area, Kathmandu.  Property Facing North with 20 feet Road Access. Under Construction...",5,4,2,2,North,16 Feet
